Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_perc_Change,Trend,sma21,sma34,Trade Call,sma14,std14,Bollinger Upper,Bollinger Lower
2019-10-24,1780.78,1770.78,1787.97,1760.78,5.2,10,2019,0.0,Slight or No change,,,HODL,,,,
2019-10-23,1762.17,1761.3,1770.05,1742.0,2.19,10,2019,-1.045047675737587,Negative,,,HODL,,,,
2019-10-22,1765.73,1788.15,1789.78,1762.0,2.23,10,2019,0.2020236413058818,Slight or No change,,,HODL,,,,
2019-10-21,1785.66,1769.66,1785.88,1765.0,2.22,10,2019,1.1287116376796025,Positive,,,HODL,,,,
2019-10-18,1757.51,1787.8,1793.98,1749.2,3.37,10,2019,-1.5764479240168994,Negative,,,HODL,,,,
2019-10-17,1787.48,1796.49,1798.85,1782.02,2.71,10,2019,1.705253455172384,Positive,,,HODL,,,,
2019-10-16,1777.43,1773.33,1786.24,1770.52,2.8,10,2019,-0.5622440530803074,Slight negative,,,HODL,,,,
2019-10-15,1767.38,1742.14,1776.45,1740.62,3.13,10,2019,-0.5654231108960683,Slight negative,,,HODL,,,,
2019-10-14,1736.43,1728.91,1741.89,1722.0,1.93,10,2019,-1.7511797123425654,Negative,,,HODL,,,,
2019-10-11,1731.92,1742.92,1745.45,1729.86,3.28,10,2019,-0.2597282931071199,Slight or No change,,,HODL,,,,
2019-10-10,1720.26,1725.24,1738.29,1713.75,2.72,10,2019,-0.6732412582567404,Slight negative,,,HODL,,,,
2019-10-09,1721.99,1719.61,1729.95,1714.36,2.09,10,2019,0.1005661934823765,Slight or No change,,,HODL,,,,
2019-10-08,1705.51,1722.49,1727.0,1705.0,2.63,10,2019,-0.9570322708029709,Slight negative,,,HODL,,,,
2019-10-07,1732.66,1731.63,1747.83,1723.7,2.19,10,2019,1.5918991973075558,Positive,,,HODL,1752.350714285714,27.051145707084807,1806.4530056998838,1698.2484228715443
2019-10-04,1739.65,1726.02,1740.58,1719.23,2.49,10,2019,0.4034259462329493,Slight or No change,,,HODL,1749.412857142857,25.936591445758136,1801.2860400343734,1697.5396742513408
2019-10-03,1724.42,1713.0,1725.0,1685.06,3.62,10,2019,-0.8754634552927354,Slight negative,,,HODL,1746.7164285714284,26.46521101287578,1799.64685059718,1693.7860065456769
2019-10-02,1713.23,1727.74,1728.89,1705.0,3.34,10,2019,-0.6489138376961523,Slight negative,,,HODL,1742.9664285714284,27.271069654670427,1797.5085678807693,1688.4242892620875
2019-10-01,1735.65,1746.0,1755.6,1728.41,3.17,10,2019,1.308639236996778,Positive,,,HODL,1739.3942857142858,24.369578044478487,1788.133441803243,1690.6551296253288
2019-09-30,1735.91,1726.99,1737.46,1709.22,2.76,9,2019,0.014979978682339025,Slight or No change,,,HODL,1737.8514285714286,23.811806656860984,1785.4750418851506,1690.2278152577067
2019-09-27,1725.45,1748.0,1749.12,1713.82,3.95,9,2019,-0.6025658012224211,Slight negative,,,HODL,1733.4207142857144,19.18932173583291,1771.7993577573802,1695.0420708140487
2019-09-26,1739.84,1762.79,1763.37,1731.5,3.57,9,2019,0.8339853371584159,Slight positive,1745.0980952380949,,HODL,1730.7357142857145,14.650943111824743,1760.037600509364,1701.433828062065
2019-09-25,1768.33,1747.36,1773.0,1723.0,3.53,9,2019,1.6375068971859583,Positive,1744.5052380952377,,HODL,1730.8035714285718,14.834766652979125,1760.4731047345301,1701.1340381226134
2019-09-24,1741.61,1790.61,1795.7,1735.55,4.64,9,2019,-1.5110301810182467,Negative,1743.5261904761903,,HODL,1731.1735714285717,15.048944561582124,1761.271460551736,1701.0756823054073
2019-09-23,1785.3,1777.0,1792.7,1767.32,3.14,9,2019,2.5085983658798443,Positive,1744.458095238095,,HODL,1734.9864285714289,20.883748413591565,1776.753925398612,1693.2189317442458
2019-09-20,1794.16,1821.71,1830.63,1780.92,5.56,9,2019,0.4962751358315254,Slight or No change,1744.862857142857,,HODL,1740.2650000000006,25.66688940129784,1791.5987788025961,1688.931221197405
2019-09-19,1821.5,1821.02,1832.57,1817.9,2.08,9,2019,1.5238328800107004,Positive,1747.9099999999996,,HODL,1747.3728571428576,32.95930647808715,1813.2914700990318,1681.4542441866834
2019-09-18,1817.46,1817.04,1822.06,1795.5,2.54,9,2019,-0.22179522371671426,Slight or No change,1749.3376190476185,,HODL,1755.3692857142862,35.50364563388812,1826.3765769820625,1684.36199444651
2019-09-17,1822.55,1807.08,1823.99,1804.1,2.03,9,2019,0.280061184290159,Slight or No change,1751.4861904761901,,HODL,1761.7900000000004,39.03351006112966,1839.8570201222597,1683.7229798777412
2019-09-16,1807.84,1824.02,1825.69,1800.2,3.68,9,2019,-0.8071109160242562,Slight negative,1753.4128571428566,,HODL,1766.6607142857144,40.29247180387346,1847.2456578934614,1686.0757706779675
2019-09-13,1839.34,1842.01,1846.12,1835.17,1.97,9,2019,1.742410832817054,Positive,1758.3133333333328,,HODL,1774.8692857142862,42.661416808000446,1860.1921193302871,1689.5464520982853
2019-09-12,1843.55,1837.63,1853.66,1834.28,2.82,9,2019,0.22888644839997865,Slight or No change,1763.6290476190472,,HODL,1784.1778571428574,42.39421244581752,1868.9662820344925,1699.3894322512224
2019-09-11,1822.99,1812.14,1833.42,1809.08,2.43,9,2019,-1.1152396192129266,Negative,1768.5209523809517,,HODL,1790.416428571429,41.11059466799348,1872.637617907416,1708.195239235442
2019-09-10,1820.55,1822.75,1825.81,1805.34,2.61,9,2019,-0.13384604413628765,Slight or No change,1773.2142857142853,,HODL,1796.4621428571431,38.626839050781236,1873.7158209587055,1719.2084647555807
2019-09-09,1831.35,1841.0,1850.0,1824.61,3.0,9,2019,0.5932273214138473,Slight positive,1779.2066666666663,1769.5173529411763,BUY,1804.0264285714288,33.70665914740201,1871.4397468662328,1736.6131102766249
2019-09-06,1833.51,1838.22,1840.65,1826.4,2.5,9,2019,0.11794577770498638,Slight or No change,1784.0090476190471,1771.0682352941176,HODL,1810.717142857143,28.946196090883667,1868.6095350389103,1752.8247506753758
2019-09-05,1840.72,1821.95,1842.0,1815.58,3.33,9,2019,0.3932348337342129,Slight or No change,1788.821904761904,1773.3785294117647,HODL,1815.8878571428572,27.205292239272083,1870.2984416214015,1761.477272664313
2019-09-04,1800.62,1805.0,1807.63,1796.23,2.33,9,2019,-2.178495371376421,Negative,1792.450476190476,1774.404705882353,HODL,1820.1028571428571,17.734892347951554,1855.5726418387603,1784.633072446954
